index,COUNTY
DAWES,1
ADDISON,1
LAGRANGE,1
GALAX,1
FOSTER,1
LENOIR,1
YAUCO,1
ST. JOHN THE BAPTIST,1
CONECUH,1
JEROME,1
LACLEDE,1
ELBERT,1
GRAVES,1
ROBERTSON,1
STARR,1
APPANOOSE,1
PHILADELPHI,1
SUTTON,1
GARDEN,1
ALLENDALE,1
HANSFORD,1
FARIBAULT,1
KINGFISHER,1
CHASE,1
BROOMFIELD,1
DUNDY,1
GOVE,1
UINTAH,1
CLARE,1
GLADWIN,1
HAWKINS,1
FALLON,1
GENEVA,1
MCCULLOCH,1
BOX BUTTE,1
CULBERSON,1
RAY,1
BOSQUE,1
BECKER,1
WHITFIELD,1
MOWER,1
CHATTOOGA,1
EAGLE,1
WILCOX,1
EDMUNDS,1
WINKLER,1
CARVER,1
PENDER,1
FALLS,1
UVALDE,1
HODGEMAN,1
BARTOW,1
HOCKING,1
NOME,1
LEMHI,1
GREELEY,1
AUGLAIZE,1
CHARLOTTESVILLE,1
SAN PATRICIO,1
SAMPSON,1
VIEQUES,1
BLUE EARTH,1
TOMPKINS,1
PEMISCOT,1
WASECA,1
EMPORIA,1
FREESTONE,1
WOODS,1
REYNOLDS,1
STEPHENSON,1
KEARNY,1
IBERVILLE,1
KEMPER,1
GASCONADE,1
RANSOM,1
LOS ALAMOS,1
MARLBORO,1
MONTEZUMA,1
WALDO,1
SPALDING,1
NODAWAY,1
WHEATLAND,1
JERAULD,1
BARROW,1
COOPER,1
COLES,1
SCHOHARIE,1
KALKASKA,1
ASOTIN,1
TEHAMA,1
GORDON,1
LANDER,1
BAXTER,1
EVANS,1
BAILEY,1
EDWARDS,1
LESLIE,1
BOUNDARY,1
FAULK,1
MALHEUR,1
ST. JOHNS,1
BARAGA,1
MILLE LACS,1
COLEMAN,1
NANTUCKET,1
FRANKLIN CITY,1
UNICOI,1
RIO ARRIBA,1
ALAMOSA,1
CONEJOS,1
BOLIVAR,1
EAST CARROLL,1
LLANO,1
JEWELL,1
PRATT,1
BONNER,1
CALAVERAS,1
FREEBORN,1
INDIANA,1
OKEECHOBEE,1
SANDERS,1
BELKNAP,1
KERSHAW,1
CHITTENDEN,1
BROOKINGS,1
DE WITT,1
SAN AUGUSTINE,1
AIBONITO,1
WADENA,1
CORSON,1
WINONA,1
TILLAMOOK,1
TOOMBS,1
AUSTIN,1
LANIER,1
DUKES,1
CONVERSE,1
BENNETT,1
GALLIA,1
VENANGO,1
CALVERT,1
GRIMES,1
PROWERS,1
SOCORRO,1
BASTROP,1
BULLOCK,1
BLACKFORD,1
GREER,1
SHERMAN,1
TIFT,1
LATAH,1
TIPPAH,1
CLEBURNE,1
RICHARDSON,1
CHAFFEE,1
SWEET GRASS,1
OWEN,1
MAVERICK,1
CARTERET,1
BEE,1
MUSCATINE,1
LEAKE,1
ABBEVILLE,1
BRAXTON,1
ST. MARY'S,1
BREWSTER,1
KEARNEY,1
DUNKLIN,1
CAYEY,1
LAUREL,1
WYANDOT,1
MCKENZIE,1
MEEKER,1
SAINT CROIX,1
OCEANA,1
GREENBRIER,1
BACA,1
KITTITAS,1
ARMSTRONG,1
MCCURTAIN,1
KIT CARSON,1
GARRETT,1
KITTSON,1
TERRY,1
FISHER,1
GULF,1
TRANSYLVANIA,1
BURNETT,1
STEWART,1
AGUADILLA,1
SWISHER,1
YATES,1
NEZ PERCE,1
ATOKA,1
DES MOINES,1
OROCOVIS,1
AMADOR,1
DARKE,1
PERSHING,1
ALEUTIANS WEST,1
CUMING,1
DILLON,1
TRIGG,1
CATOOSA,1
AIKEN,1
MAURY,1
ARCHULETA,1
DREW,1
NOLAN,1
PALO ALTO,1
STANTON,1
COSHOCTON,1
PEPIN,1
CAPE MAY,1
RAWLINS,1
GREENUP,1
QUAY,1
APPLING,1
WILKIN,1
MARINETTE,1
JOSEPHINE,1
GOODING,1
ALEXANDER,1
BEN HILL,1
CALLOWAY,1
GUTHRIE,1
HAAKON,1
COAL,1
