State,County,MedianIncome
Idaho,shoshone,47768
Idaho,teton,62389
Illinois,stark,62993
Illinois,washington county,64959
Illinois,massac,55256
Illinois,winnebago,58536
Illinois,stephenson,54367
Illinois,cumberland,54423
Illinois,williamson,54242
Illinois,mercer,63831
Illinois,bureau,60525
Illinois,rock island,62123
Illinois,mason,56188
Illinois,dewitt,64446
Illinois,perry,53689
Illinois,bond,61238
Illinois,whiteside,58305
Illinois,ogle,69172
Illinois,morgan,62224
Illinois,hamilton,56202
Illinois,shelby,56074
Illinois,coles,53465
Illinois,randolph,60224
Illinois,edwards,49290
Illinois,edgar,51601
Illinois,saline,47023
Illinois,franklin,48376
Illinois,macon,59733
Illinois,logan,62765
Illinois,gallatin,53250
Illinois,adams,58992
Illinois,clay,52000
Illinois,wayne,54060
Illinois,montgomery,54529
Illinois,jersey,63789
Illinois,ford,60799
Illinois,christian,56066
Illinois,lee,62194
Illinois,jasper,59406
Illinois,white,56110
Illinois,pulaski,45764
Illinois,fayette,52735
Illinois,crawford,59235
Illinois,hardin,46932
Illinois,fulton,56215
Illinois,greene,53680
Illinois,pope,45551
Illinois,wabash,61412
Illinois,iroquois,58930
Illinois,lasalle,64693
Illinois,johnson,50796
Illinois,champaign,69554
Illinois,livingston,64978
Illinois,mcdonough,54058
Illinois,richland,57038
Illinois,marion,52408
Illinois,jackson,52697
Illinois,vermilion,51986
Illinois,schuyler,58547
Illinois,marshall,62827
Illinois,warren,53887
Illinois,dekalb,71343
Illinois,clark,55434
Illinois,st. clair,63373
Illinois,union,48879
Illinois,pike,49542
Illinois,cass,53871
Illinois,douglas,65220
Illinois,brown,64292
Illinois,henderson,60066
Illinois,boone,67049
Illinois,kankakee,61559
Illinois,moultrie,55610
Illinois,knox,52496
Illinois,jefferson,55188
Illinois,hancock,54700
Illinois,scott,61563
Illinois,macoupin,60309
Illinois,henry,64959
Illinois,grundy,78918
Illinois,lawrence,48269
Illinois,kendall,91368
Illinois,piatt,73890
Illinois,mchenry,87760
Illinois,clinton,76109
Illinois,woodford,78590
Illinois,alexander,33977
Illinois,peoria,65884
Illinois,lake,92116
Illinois,madison,67064
Illinois,dupage,95208
Illinois,tazewell,68994
Illinois,calhoun,61464
Illinois,menard,73969
Illinois,effingham,64204
Illinois,monroe,81766
Illinois,mclean,83812
Illinois,kane,80085
Illinois,jo daviess,63490
Illinois,carroll,56063
Illinois,cook,66187
Illinois,putnam,68179
Illinois,sangamon,71338
Illinois,will,86747
Indiana,putnam,59037
Indiana,noble,57363
Indiana,porter,76004
Indiana,marshall,57613
Indiana,gibson,61861
Indiana,decatur,54432
Indiana,johnson,73059
Indiana,wells,57459
Indiana,jefferson,52922
Indiana,randolph,47682
Indiana,lake,60080
Indiana,steuben,56300
Indiana,madison,54074
Indiana,starke,46205
Indiana,howard,57615
Indiana,franklin,63675
Indiana,cass,50753
Indiana,marion,52417
Indiana,sullivan,55748
Indiana,clinton,57960
Indiana,pulaski,53822
Indiana,fayette,46311
Indiana,orange,46454
Indiana,floyd,66670
Indiana,allen,60867
Indiana,newton,57870
Indiana,warrick,72764
Indiana,hendricks,79943
Indiana,fountain,54191
Indiana,benton,57079
Indiana,monroe,62959
Indiana,jay,47376
Indiana,harrison,59691
Indiana,vermillion,50674
Indiana,laporte,58674
Indiana,dekalb,56561
Indiana,rush,56923
Indiana,martin,55776
Indiana,ohio county,59539
Indiana,ripley,59022
Indiana,morgan,63148
Indiana,montgomery,53218
Indiana,brown,59221
Indiana,huntington,57067
Indiana,posey,73319
Indiana,warren,61784
Indiana,st. joseph,56861
Indiana,jackson,56297
Indiana,spencer,64930
Indiana,bartholomew,64614
Indiana,white,60995
Indiana,tipton,60757
Indiana,pike,50069
Indiana,greene,54728
Indiana,lawrence,52567
Indiana,lagrange,51922
Indiana,tippecanoe,63086
Indiana,dubois,66988
